Stations,longitude (E),latitude (N),Distance from thermal outlet,Fluorescence,Turbidity,Oxygen,Salinity,Temperature,SiO32-,PO43-,NO2-,NH4+,NO3-,DIN,N/P,Si/P,Si/N,DOP,DON,Chl-a,DIC,Temperature2,TChla,pH
N17,114.5660333,22.59651667,1323.87,0.734,0.342,55.13384,33.4006,25.4516,7.432803072,0.077419355,0.028571429,0.928571429,0.285714286,1.242857143,16.05357143,96.00703968,5.980416265,0.458064516,8.907142857,1301.353489,2024.48,25.686,1301.353489,8.14
J1,114.5498833,22.59261667,2016.86,0.713,0.58,70.85706,33.4927,25.4679,7.238617663,0.029032258,0,0.471428571,0.428571429,0.9,31,249.330164,8.042908515,0.44516129,8.457142857,647.0465786,2011.94,25.75,647.046579,8.26
S1,114.56835,22.59965,1148.81,1.12,0.635,22.27423,33.398,25.651,7.734503566,0.061290323,0.028571429,0.735714286,0.285714286,1.05,17.13157895,126.1945319,7.366193872,0.416129032,3.614285714,#N/A,2022.08,28.233,1513.062161,8.09
N19,114.5569833,22.59441667,1516.18,0.755,0.653,15.71874,33.412,25.7885,7.472298409,0.083870968,0.042857143,1.014285714,0.928571429,1.985714286,23.67582418,89.09278873,3.763027976,0.670967742,6.742857143,1376.567229,2026.85,25.965,1376.567229,8.1
D1-1,114.6047667,22.63516667,5436.4,0.89,0.641,12.57811,33.3919,25.805,8.13384531,0.096774194,0.05,0.885714286,0.714285714,1.65,17.05,84.04973487,4.929603218,0.380645161,7.471428571,1135.576479,2028.8,27.723,1135.576479,8.02
M27-1,114.594,22.65853333,6602.686003,1.9817,2.179,-1.92966,33.4874,25.917,9.332967636,0.109677419,0.078571429,1.135714286,1.285714286,2.5,22.79411765,85.09470491,3.733187054,0.403225806,0.271428571,#N/A,2029.4062,26.662,982.667,8.19
N01,114.5865167,22.61738333,2831.24,0.718,0.33,24.35541,33.351,26.2277,8.436642896,0.093548387,0.028571429,1.014285714,0.5,1.542857143,16.49261084,90.18480337,5.46819447,0.329032258,2.564285714,1055.891668,2032,26.094,1055.891668,8.13
N10,114.5726,22.60861667,1187.69,0.634,0.696,-2.01684,33.3782,26.2872,7.776193088,0.074193548,0.042857143,1.357142857,0.285714286,1.685714286,22.72049689,104.809559,4.6129959,0.277419355,7.814285714,1000.302493,2033.66,29.244,1000.302493,8.27
N21,114.5522167,22.59376667,1779.51,0.748,0.635,19.80857,33.4183,26.4462,7.565551289,0.129032258,0.071428571,1.335714286,1.5,2.907142857,22.53035714,58.63302249,2.602400935,0.425806452,6.757142857,1907.458811,2029.72,28.067,1311.855348,8.1
N04,114.5832,22.6226,2822.12,NA,NA,NA,NA,26.5,7.730115195,0.177419355,0.114285714,1.021428571,1.285714286,2.421428571,13.64805195,43.56974019,3.192377957,0.412903226,4.392857143,314.0446179,NA,NA,314.044618,NA
N02,114.584,22.62033333,2749.86,0.415,1.392,-12.98413,33.3905,26.5285,8.188699945,0.116129032,0.057142857,0.978571429,0.928571429,1.964285714,16.91468254,70.51380508,4.168792699,0.503225806,5.714285714,521.8123592,2029.52,27.338,521.812359,8.21
M27,114.5860167,22.6202,2921.67,0.419,1.349,4.75317,33.4268,26.7568,8.428963247,0.077419355,0.035714286,0.635714286,0.357142857,1.028571429,13.28571429,108.8741086,8.194825379,0.367741935,9,1032.009268,2025.86,26.127,1032.009268,8.15
N03,114.5813667,22.62265,2676.62,0.294,1.899,38.7961,33.32,26.9519,8.041689523,0.164516129,0.1,0.964285714,1.785714286,2.85,17.32352941,48.88085788,2.821645447,0.348387097,6.307142857,272.1059679,NA,28.696,272.105968,8.18
N20,114.5542833,22.5978,1286.52,0.505,0.83,25.41188,32.5785,27.0305,7.674163467,0.1,0.057142857,1.171428571,0.785714286,2.014285714,20.14285714,76.74163467,3.809868388,0.506451613,8.221428571,1187.8605,2031.23,27.371,1187.8605,8.13
T27,114.5700167,22.60413333,990.28,0.515,0.763,-0.15097,33.4411,27.4473,8.705430609,0.119354839,0.078571429,1.121428571,0.571428571,1.771428571,14.84169884,72.93739159,4.914355989,0.34516129,0.135714286,1244.7738,2035.93,27.313,1244.7738,8.15
D2-1,114.5906667,22.61918333,3301.58,0.399,0.684,1.60042,33.37,27.4885,7.748765771,0.090322581,0.042857143,1.028571429,0.428571429,1.5,16.60714286,85.78990675,5.165843847,0.703225806,12.65,489.4069179,2024.35,28.667,489.406918,8.11
N12,114.5710667,22.6002,1307.62,0.585,0.36,59.67246,33.3996,27.7,7.428414701,0.067741935,0.028571429,0.978571429,0.571428571,1.578571429,23.30272109,109.6575503,4.705783069,0.322580645,6.828571429,1188.517404,2024.94,28.671,1188.517404,8.26
N05,114.5839167,22.61308333,2423.47,0.542,0.281,65.48438,33.4058,27.98442,7.454744926,0.096774194,0.057142857,1.114285714,0.357142857,1.528571429,15.7952381,77.03236423,4.876935933,0.564516129,4.014285714,500.2578643,2026.66,29.015,500.257864,8.27
N16,114.5617333,22.59941667,902.78,0.636,0.433,62.3714,33.4131,28.083,7.571036753,0.074193548,0.035714286,0.978571429,0.857142857,1.871428571,25.22360248,102.0444084,4.045592158,0.309677419,7.4,1385.409632,2026.71,29.134,1385.409632,8.13
N06,114.5799667,22.60926667,1947.31,0.339,0.623,26.90863,33.4068,28.1613,7.613823368,0.138709677,0.064285714,0.992857143,0.857142857,1.914285714,13.80066445,54.89035451,3.977370416,0.829032258,2.678571429,607.3297071,2031.75,28.944,607.329707,8.07
N11,114.5753333,22.60461667,1496.99,0.399,0.592,9.22825,33.4153,28.3036,7.588590236,0.087096774,0.05,1.207142857,0.714285714,1.971428571,22.63492063,87.12825826,3.849284902,0.616129032,9.064285714,960.6853607,2028.82,28.675,960.685361,8.14
M30,114.5635333,22.60593333,306.11,0.512,1.026,-4.46918,33.487,28.5676,7.616017553,0.122580645,0.071428571,1.271428571,0.714285714,2.057142857,16.78195489,62.13066952,3.702230755,0.4,10.07857143,655.4521929,2022.49,29.667,655.452193,8.21
N13,114.5671667,22.60323333,784.5,0.44,0.543,7.4067,33.3398,28.7837,7.768513439,0.080645161,0.035714286,0.928571429,0.428571429,1.392857143,17.27142857,96.32956665,5.577394264,0.232258065,7.942857143,739.7250107,2028.75,28.697,739.725011,8.15
N07,114.57755,22.6122,1767.99,0.223,0.867,21.0673,33.4088,28.9943,7.524958859,0.112903226,0.057142857,0.942857143,1.142857143,2.142857143,18.97959184,66.64963561,3.511647468,0.487096774,1.657142857,482.2153714,2033.77,28.851,482.215371,8.16
N14,114.5643,22.6073,330.2,NA,NA,NA,NA,29,7.623697202,0.129032258,0.078571429,1.371428571,1.357142857,2.807142857,21.75535714,59.08365332,2.715820886,0.319354839,6.635714286,624.8459893,NA,NA,624.845989,NA
N15,114.5654,22.6062,465.76,NA,NA,NA,NA,29,7.564454196,0.161290323,0.092857143,1.35,1.285714286,2.728571429,16.91714286,46.89961602,2.772313056,0.374193548,7.092857143,794.7123107,NA,NA,794.712311,NA
T30,114.5664667,22.60866667,566.45,0.521,0.849,2.6922,33.4213,29.6074,8.727372463,0.119354839,0.071428571,1.042857143,0.785714286,1.9,15.91891892,73.12122874,4.593353928,0.541935484,6.571428571,505.7882357,2035.48,30.19,505.788236,8.13
N09,114.56925,22.6115,947.52,0.122,0.971,-1.91642,33.3474,29.7679,7.555677455,0.161290323,0.078571429,0.842857143,1.214285714,2.135714286,13.24142857,46.84520022,3.537775397,0.435483871,2.021428571,328.3864393,2039.43,30.151,328.386439,8.16
N08,114.5690917,22.61197222,959.24,NA,NA,NA,NA,29.8,7.465715853,0.177419355,0.107142857,1.464285714,1.428571429,3,16.90909091,42.07948935,2.488571951,0.767741935,10.67857143,261.3478821,NA,NA,261.347882,NA
